# sma[pix]	I	I_err
 97.50 -5.73166698e-04  2.30570440e-04
 98.00 -7.84812798e-04  3.45438073e-04
 98.50 -7.05597301e-04  4.47032250e-04
 99.00 -4.03506355e-04  3.67890294e-04
 99.50 -1.24391562e-04  3.76901157e-04
100.00  3.91776498e-05  2.28106767e-04
100.50 -4.30786017e-05  3.04268443e-04
101.00 -4.47951581e-04  3.12367863e-04
101.50 -8.64069396e-04  2.23515319e-04
102.00 -1.06342834e-03  1.67262938e-04
102.50 -8.60906918e-04  1.91484827e-04
