# sma[pix]	I	I_err
105.00  6.94955358e-04  4.67637742e-04
105.50  1.22535748e-05  8.19753128e-04
106.00 -1.72984551e-03  7.57744318e-04
106.50 -2.25686860e-03  3.23794271e-04
107.00 -9.79821355e-04  3.26798328e-04
107.50  2.37082077e-04  3.96840635e-04
108.00  2.44503683e-04  3.99993158e-04
108.50 -9.20361396e-05  5.54958858e-04
109.00  1.55909530e-04  8.88851691e-04
109.50  1.37802484e-04  9.53711100e-04
110.00 -1.71596741e-04  4.77362299e-04
110.50 -5.20743722e-04  5.30116037e-04
111.00 -1.00795189e-03  4.12193971e-04
111.50 -1.16531928e-03  5.16535312e-04
112.00 -8.25506913e-04  6.70700794e-04
112.50 -3.61976777e-04  6.40892561e-04
113.00  2.01827028e-04  2.57899707e-04
113.50  3.70612726e-04  4.50701307e-04
114.00 -6.55131024e-05  6.18950619e-04
114.50 -9.40230642e-05  5.63586671e-04
115.00  4.12304805e-04  3.43709677e-04
115.50  6.44588120e-04  5.32935770e-04
116.00  2.24341780e-04  6.85923522e-04
116.50 -8.38802490e-06  8.20260281e-04
117.00  4.16790013e-05  9.70400352e-04
117.50 -3.17627795e-04  7.04418040e-04
118.00  1.88159518e-04  7.56142343e-04
118.50  7.88178935e-04  1.10977917e-03
119.00  3.23446397e-04  1.11191789e-03
119.50  5.26968918e-04  7.50605264e-04
120.00  1.05652937e-03  9.18814821e-04
120.50  1.23583073e-03  8.80722340e-04
121.00  1.42000194e-03  4.67283132e-04
121.50  1.15830903e-03  1.04888423e-03
122.00  8.68657331e-04  5.88124483e-04
122.50  9.34696645e-04  4.71952231e-04
123.00  4.25717948e-04  3.20271403e-04
123.50 -3.82621060e-04  4.77899550e-04
124.00 -1.39290212e-03  7.49598860e-04
124.50 -2.24271565e-03  1.05038301e-03
125.00 -1.83681742e-03  1.18026655e-03
125.50 -1.15504070e-03  8.94559875e-04
126.00 -4.50308072e-04  7.39591908e-04
126.50  3.24202411e-04  6.53914313e-04
127.00  1.70760311e-04  8.32099077e-04
127.50 -5.95652754e-04  9.24085429e-04
128.00 -8.46598673e-04  7.55404666e-04
128.50 -1.00928341e-03  6.82338649e-04
129.00 -6.36358227e-04  5.10892177e-04
129.50  3.60750048e-06  7.18476059e-04
130.00 -6.83239262e-04  6.36751405e-04
130.50 -1.20964010e-03  4.25033030e-04
131.00 -6.83297713e-04  4.08042238e-04
131.50 -2.71941200e-04  6.20692053e-04
132.00  3.29949880e-04  8.14333384e-04
132.50  1.22582002e-03  4.50946522e-04
133.00  1.58006977e-03  2.20319218e-04
133.50  1.57629551e-03  4.48908674e-04
134.00  1.04286710e-03  5.63735503e-04
134.50 -5.80208927e-05  6.33975091e-04
135.00 -5.92357792e-04  6.22876433e-04
135.50 -3.08429634e-04  9.23411395e-04
136.00 -8.81541668e-04  1.23533324e-03
136.50 -1.98109663e-03  1.20048334e-03
137.00 -1.32526608e-03  8.71540470e-04
137.50 -3.31845063e-04  7.95156940e-04
138.00  1.32746910e-03  5.52599036e-04
138.50  2.88565989e-03  8.57448416e-04
139.00  2.42572270e-03  9.28573324e-04
139.50  1.15647266e-03  1.06409493e-03
140.00  2.43845830e-04  4.51651388e-04
140.50 -1.23632669e-04  8.31924379e-04
141.00 -4.49506377e-04  1.12032618e-03
141.50 -4.59266113e-04  8.59061441e-04
142.00 -3.53655956e-04  6.75413384e-04
142.50  1.33845439e-04  6.18092442e-04
143.00  2.45781991e-04  8.86526433e-04
143.50  3.56054641e-04  7.93741207e-04
144.00  5.91372594e-04  7.94607959e-04
144.50  9.70612121e-04  7.04466886e-04
145.00  1.09028132e-03  7.16106136e-04
145.50  2.27393790e-04  5.00579105e-04
146.00 -5.92767629e-04  5.57608980e-04
146.50 -5.69273630e-04  4.12896961e-04
147.00 -2.84427406e-04  6.60654177e-04
147.50  4.24366223e-04  1.04768159e-03
